Orthogroup	Taxa	# species	omega	M7_lnL	M8_lnL	M8a_lnL	M8vsM7	M8vsM8a	M8vsM7_cor	M8vsM8a_cor	Positive Selection
group8826	subgenus Drosophila	12	0.13161	-2789.418081	-2788.244642	-2788.278662	0.309301422564109	0.966552173400674	False	False	False
group8358	subgenus Drosophila	12	0.16261	-1331.308122	-1330.149782	-1330.979458	0.314007000103241	0.436190589180103	False	False	False
group8044	subgenus Drosophila	12	0.08806	-5003.361855	-5002.248869	-5002.458167	0.328576365762275	0.811153475887375	False	False	False
group8033	subgenus Drosophila	12	0.2513	-4611.378666	-4610.31824	-4610.346537	0.346308251587098	0.972099610338037	False	False	False
group8147	subgenus Drosophila	12	0.17537	-2896.78352	-2895.73535	-2895.736762	0.350578721502878	0.998588996402898	False	False	False
group8484	subgenus Drosophila	12	0.20731	-2747.544379	-2746.558792	-2746.730453	0.373220082435607	0.842264652493952	False	False	False
group8448	subgenus Drosophila	12	0.11963	-17151.985141	-17151.134705	-17151.09422	0.42722861965716	1	False	False	False
group8538	subgenus Drosophila	12	0.39976	-2968.718203	-2967.901497	-2966.512964	0.441884828439417	1	False	False	False
group8596	subgenus Drosophila	12	0.0832	-5324.766595	-5324.022087	-5324.100217	0.474967926683059	0.924844188983816	False	False	False
group9223	subgenus Drosophila	12	0.2318	-5107.474813	-5106.790725	-5106.846764	0.504550169564967	0.945502260583118	False	False	False
group8327	subgenus Drosophila	12	0.16996	-4906.232304	-4905.580358	-4905.6225	0.521030863510339	0.958733630730281	False	False	False
group8342	subgenus Drosophila	12	0.25342	-3490.193836	-3489.603391	-3490.021685	0.554080663970091	0.658168698379941	False	False	False
group8612	subgenus Drosophila	12	0.38617	-2989.029831	-2988.448093	-2988.772463	0.558926108341524	0.722982689290668	False	False	False
group8743	subgenus Drosophila	12	0.14044	-2513.479724	-2512.957252	-2513.092935	0.593052708173278	0.873119367463419	False	False	False
group8720	subgenus Drosophila	12	0.2498	-3521.847348	-3521.328079	-3521.341686	0.594955301373833	0.986485156758308	False	False	False
group9177	subgenus Drosophila	12	0.4347	-391.996544	-391.487495	-391.509483	0.601066921738249	0.978251974004499	False	False	False
group9242	subgenus Drosophila	12	0.27465	-1765.330726	-1764.830167	-1764.847854	0.60619170382095	0.982468496877093	False	False	False
group9048	subgenus Drosophila	12	0.22624	-5476.75569	-5476.270906	-5476.434416	0.61583020172267	0.849158007378785	False	False	False
group8055	subgenus Drosophila	12	0.26802	-5506.719216	-5506.254803	-5506.253282	0.628503928735127	1	False	False	False
group9205	subgenus Drosophila	12	0.42195	-3378.897893	-3378.43722	-3378.446664	0.630858934544742	0.990600454514865	False	False	False
group8813	subgenus Drosophila	12	0.19712	-1708.818225	-1708.360331	-1708.363863	0.632614529793684	0.996474230174899	False	False	False
group8655	subgenus Drosophila	12	0.34487	-3661.879056	-3661.436238	-3661.435503	0.642224081234425	1	False	False	False
group8180	subgenus Drosophila	12	0.24574	-1624.978147	-1624.551839	-1624.555	0.652915213262695	0.996843990700489	False	False	False
group8590	subgenus Drosophila	12	0.44621	-1931.987685	-1931.564864	-1931.565524	0.655195902682373	0.999340217751939	False	False	False
group8836	subgenus Drosophila	12	0.2699	-2630.219394	-2629.801154	-2630.195866	0.658204240449341	0.673874087041847	False	False	False
group8336	subgenus Drosophila	12	0.47758	-5103.377731	-5102.987343	-5102.986166	0.676794227387827	1	False	False	False
group8181	subgenus Drosophila	12	0.26085	-2314.375588	-2314.0906	-2314.101666	0.752023278544666	0.988995002951068	False	False	False
group8125	subgenus Drosophila	12	0.46257	-5851.284541	-5851.002259	-5851.000468	0.754061009342569	1	False	False	False
group8028	subgenus Drosophila	12	0.32378	-2391.344929	-2391.079675	-2390.334368	0.767011104411062	1	False	False	False
group8168	subgenus Drosophila	12	0.4478	-1428.319827	-1428.10757	-1428.252851	0.808756820352481	0.864779255994632	False	False	False
group9166	subgenus Drosophila	12	0.06622	-1047.831089	-1047.657379	-1048.239443	0.840540619096629	0.558743928127144	False	False	False
group9175	subgenus Drosophila	12	0.15643	-2691.108429	-2690.942952	-2690.91634	0.847489355235926	1	False	False	False
group8381	subgenus Drosophila	12	0.24581	-2713.125965	-2712.970168	-2713.123837	0.855732886515928	0.857555825017158	False	False	False
group8682	subgenus Drosophila	12	0.18488	-2369.542379	-2369.439897	-2369.534111	0.902594396306037	0.910087982572054	False	False	False
group8465	subgenus Drosophila	12	0.20952	-856.581514	-856.506785	-856.509389	0.927994938883692	0.997399387467021	False	False	False
group8809	subgenus Drosophila	12	0.13252	-2707.924783	-2707.861826	-2707.904364	0.938983849126477	0.958354047375063	False	False	False
group8025	subgenus Drosophila	12	0.46541	-4156.456624	-4156.409592	-4156.406149	0.954056867281755	1	False	False	False
group8175	subgenus Drosophila	12	0.2182	-1891.59092	-1891.569106	-1891.584134	0.978422204657405	0.985084356854885	False	False	False
group8487	subgenus Drosophila	12	0.0396	-1545.595409	-1545.576788	-1545.572175	0.981551299698852	1	False	False	False
group8235	subgenus Drosophila	12	0.06663	-4968.14611	-4968.143287	-4968.312295	0.997180980917767	0.844502147341959	False	False	False
group8070	subgenus Drosophila	12	0.14481	-2307.756308	-2307.754285	-2307.735276	0.997979044885325	1	False	False	False
group9231	subgenus Drosophila	12	0.26002	-2195.28676	-2195.286804	-2195.269379	1	1	False	False	False
group8023	subgenus Drosophila	12	0.0001	-1044.896656	-1044.898418	-1044.897947	1	1	False	False	False
group9226	subgenus Drosophila	12	0.37919	-3097.96412	-3097.964132	-3097.960399	1	1	False	False	False
group8062	subgenus Drosophila	12	0.2349	-2538.192791	-2538.192901	-2538.175151	1	1	False	False	False
group9206	subgenus Drosophila	12	0.05513	-1814.517924	-1814.518571	-1814.38116	1	1	False	False	False
group8076	subgenus Drosophila	12	0.36904	-4490.693998	-4490.694026	-4490.676478	1	1	False	False	False
group9220	subgenus Drosophila	12	0.25535	-2828.844171	-2828.844203	-2828.837681	1	1	False	False	False
group9053	subgenus Drosophila	12	0.23189	-6077.21899	-6077.219193	-6077.161136	1	1	False	False	False
group7736	subgenus Drosophila	12	0.3575	-3064.699847	-3064.699935	-3064.677991	1	1	False	False	False
group9222	subgenus Drosophila	12	0.10134	-1375.51466	-1375.514712	-1375.498788	1	1	False	False	False
group8013	subgenus Drosophila	12	0.11671	-7400.513789	-7400.514437	-7400.463976	1	1	False	False	False
group8702	subgenus Drosophila	12	0.01055	-1278.023556	-1278.024744	-1278.018363	1	1	False	False	False
group8144	subgenus Drosophila	12	0.26483	-1146.799154	-1146.799157	-1146.797727	1	1	False	False	False
group8424	subgenus Drosophila	12	0.08551	-1965.498967	-1965.49945	-1965.518514	1	0.981116568772965	False	False	False
group8373	subgenus Drosophila	12	0.27453	-1812.824226	-1812.824264	-1812.815719	1	1	False	False	False
group7949	subgenus Drosophila	12	0.27183	-1644.338709	-1644.338735	-1644.338061	1	1	False	False	False
group8371	subgenus Drosophila	12	0.07387	-1228.048244	-1228.04848	-1228.055206	1	0.993296568910084	False	False	False
group8369	subgenus Drosophila	12	0.16529	-4073.877424	-4073.877432	-4073.830748	1	1	False	False	False
group8476	subgenus Drosophila	12	0.01362	-3163.824179	-3163.827715	-3163.950515	1	0.884440532979699	False	False	False
group7855	subgenus Drosophila	12	0.20694	-2980.010044	-2980.010136	-2980.011411	1	0.998725812467087	False	False	False
group9250	subgenus Drosophila	12	0.22176	-4491.947721	-4491.947915	-4491.85482	1	1	False	False	False
group8490	subgenus Drosophila	12	0.30669	-3329.969702	-3329.969908	-3329.913379	1	1	False	False	False
group7814	subgenus Drosophila	12	0.06219	-2657.773543	-2657.774077	-2657.672636	1	1	False	False	False
group8924	subgenus Drosophila	12	0.10719	-1635.654471	-1635.654595	-1635.638377	1	1	False	False	False
group8501	subgenus Drosophila	12	0.23094	-5714.507835	-5714.507987	-5714.441342	1	1	False	False	False
group8508	subgenus Drosophila	12	0.10074	-2817.922299	-2817.922416	-2818.027809	1	0.899970764566644	False	False	False
group8362	subgenus Drosophila	12	0.13833	-2507.898589	-2507.898619	-2507.881742	1	1	False	False	False
group8524	subgenus Drosophila	12	0.1596	-1934.134219	-1934.134263	-1934.104251	1	1	False	False	False
group7807	subgenus Drosophila	12	0.12395	-2333.727384	-2333.727623	-2333.651228	1	1	False	False	False
group8653	subgenus Drosophila	12	0.099	-1779.071538	-1779.07162	-1779.077767	1	0.993871854152505	False	False	False
group8300	subgenus Drosophila	12	0.20051	-1869.552652	-1869.552806	-1869.525949	1	1	False	False	False
group8201	subgenus Drosophila	12	0.13454	-3640.850228	-3640.850357	-3640.818514	1	1	False	False	False
group8793	subgenus Drosophila	12	0.16523	-5821.840128	-5821.84036	-5821.806065	1	1	False	False	False
group8820	subgenus Drosophila	12	0.1468	-1166.28049	-1166.280632	-1166.261747	1	1	False	False	False
group8905	subgenus Drosophila	12	0.53141	-2073.928236	-2073.928262	-2073.95601	1	0.972633439547575	False	False	False
group8502	subgenus Drosophila	12	0.20013	-4877.430309	-4877.430388	-4877.42315	1	1	False	False	False
group7735	subgenus Drosophila	12	0.22182	-1383.434438	-1383.434438	-1383.451	1	0.983574395887637	False	False	False
group11025	mulleri subgroup	9	0.37821	-1452.357488	-1451.039048	-1451.727665	0.267552358256242	0.502270228670401	False	False	False
group10963	mulleri subgroup	9	0.43624	-3509.33285	-3508.953049	-3509.042526	0.683997511174767	0.914409296296271	False	False	False
group11014	mulleri subgroup	9	0.41486	-966.496326	-966.410678	-966.495285	0.917917281243016	0.918873330670167	False	False	False
group10822	mulleri subgroup	9	0.07634	-1092.819239	-1092.819306	-1092.790573	1	1	False	False	False
group10858	mulleri subgroup	9	0.3396	-2721.022693	-2721.02271	-2721.015083	1	1	False	False	False
